L1,CEFR,Overall_Score,Human_Score,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone
Arabic,B1,3.9495,3.5886,3.9535,3.9427,3.9465,3.9443,3.9485,3.9473
Arabic,B2,4.0408,3.6885,4.0425,4.042,4.0388,4.0469,4.0402,4.0383
Arabic,C1,4.1358,3.7868,4.1332,4.1377,4.1349,4.1368,4.131,4.1302
Chinese,B1,3.728,3.2196,3.7253,3.726,3.7285,3.7272,3.7313,3.7268
Chinese,B2,3.8655,3.3695,3.8623,3.8642,3.8683,3.8643,3.8665,3.8637
Chinese,C1,3.9938,3.4898,3.9901,3.9945,3.9959,3.9919,3.9926,3.9969
Persian,B1,4.1655,3.8127,4.166,4.161,4.1659,4.1678,4.1672,4.1622
Persian,B2,4.2458,3.8901,4.2435,4.2436,4.2431,4.249,4.2466,4.2462
Persian,C1,4.3293,3.9901,4.3284,4.3319,4.3281,4.3357,4.3332,4.3251
Spanish,B1,4.1013,3.744,4.1032,4.1001,4.1003,4.103,4.1031,4.103
Spanish,B2,4.1746,3.8079,4.1752,4.1756,4.1775,4.1722,4.1727,4.1735
Spanish,C1,4.2647,3.919,4.2592,4.2626,4.2659,4.2674,4.2599,4.266
