Dimension,Factor,ANOVA_F,ANOVA_p,eta_squared,Kruskal_H,Kruskal_p
Overall_Score,Model,9532.187,0,0.4427,10981.487,0
Overall_Score,L1,1890.758,0,0.1912,4302.461,0
Overall_Score,CEFR,720.105,1.94e-304,0.0566,1234.284,9.52e-269
Human_Score,Model,3496.632,0,0.2257,5471.279,0
Human_Score,L1,1885.653,0,0.1908,4396.259,0
Human_Score,CEFR,391.559,4.61e-168,0.0316,702.23,3.26e-153
Accuracy,Model,7786.677,0,0.3936,9716.177,0
Accuracy,L1,1653.405,0,0.1713,3888.934,0
Accuracy,CEFR,607.055,6.49e-258,0.0482,1056.89,3.16e-230
Helpfulness,Model,7579.713,0,0.3872,9547.834,0
Helpfulness,L1,1639.874,0,0.1701,3847.462,0
Helpfulness,CEFR,668.812,2.21e-283,0.0528,1166.893,4.1e-254
Specificity,Model,7833.943,0,0.395,9738.756,0
Specificity,L1,1617.785,0,0.1682,3808.294,0
Specificity,CEFR,642.762,1.18e-272,0.0508,1126.512,2.4e-245
Actionability,Model,7758.076,0,0.3927,9675.355,0
Actionability,L1,1658.901,0,0.1718,3882.687,0
Actionability,CEFR,645.255,1.11e-273,0.051,1127.304,1.62e-245
Pedagogical_Appropriateness,Model,7842.025,0,0.3953,9750.862,0
Pedagogical_Appropriateness,L1,1632.992,0,0.1695,3858.177,0
Pedagogical_Appropriateness,CEFR,611.871,6.63e-260,0.0485,1074.538,4.65e-234
Socio_Affective_Tone,Model,7791.69,0,0.3937,9733.005,0
Socio_Affective_Tone,L1,1618.309,0,0.1683,3814.748,0
Socio_Affective_Tone,CEFR,632.182,2.72e-268,0.0501,1101.416,6.77e-240
