Essay_ID,L1,CEFR,Error_Density,Lexical_Sophistication,Model,Prompt,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Overall_Score
1,Persian,B2,6.78,98.83,GPT-4o,Baseline,4.75,4.41,4.37,4.41,4.41,4.21,4.43
1,Persian,B2,6.78,98.83,GPT-4o,FairnessAware,5.04,4.58,4.7,4.7,4.76,4.59,4.73
1,Persian,B2,6.78,98.83,Claude4,Baseline,4.15,4.34,3.97,3.98,3.93,3.97,4.06
1,Persian,B2,6.78,98.83,Claude4,FairnessAware,4.74,4.5,4.39,4.57,4.56,4.69,4.58
1,Persian,B2,6.78,98.83,Gemini2.5,Baseline,3.99,3.64,3.94,4.25,4.06,3.96,3.97
1,Persian,B2,6.78,98.83,Gemini2.5,FairnessAware,4.25,4.06,4.36,4.22,4.15,4.27,4.22
2,Persian,B2,9.65,90.38,GPT-4o,Baseline,4.35,4.32,4.25,4.04,4.17,4.31,4.24
2,Persian,B2,9.65,90.38,GPT-4o,FairnessAware,4.85,4.79,4.61,4.64,4.99,5.12,4.83
2,Persian,B2,9.65,90.38,Claude4,Baseline,4.41,4.21,4.01,4.21,4.44,4.25,4.26
2,Persian,B2,9.65,90.38,Claude4,FairnessAware,4.51,4.93,4.77,4.76,4.87,4.61,4.74
2,Persian,B2,9.65,90.38,Gemini2.5,Baseline,3.99,4.05,3.71,3.71,3.81,4.07,3.89
2,Persian,B2,9.65,90.38,Gemini2.5,FairnessAware,4.13,4.18,4.07,4.25,4.05,4.16,4.14
3,Persian,B1,11.55,91.5,GPT-4o,Baseline,3.62,3.41,3.38,3.54,3.5,3.6,3.51
3,Persian,B1,11.55,91.5,GPT-4o,FairnessAware,3.73,3.98,3.72,3.52,3.66,3.72,3.72
3,Persian,B1,11.55,91.5,Claude4,Baseline,4.25,4.12,4.17,4.29,4.23,4.23,4.22
3,Persian,B1,11.55,91.5,Claude4,FairnessAware,4.26,4.11,4.18,3.94,4.05,4.33,4.15
3,Persian,B1,11.55,91.5,Gemini2.5,Baseline,3.94,3.84,3.79,3.5,3.69,3.66,3.74
3,Persian,B1,11.55,91.5,Gemini2.5,FairnessAware,4.67,4.44,4.26,4.26,4.46,4.23,4.39
