Variable,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Overall_Score,Human_Score,Error_Density,Lexical_Sophistication
Accuracy,1.0,0.8864,0.8868,0.8859,0.8857,0.8874,0.9412,0.7188,-0.3308,0.1386
Helpfulness,0.8864,1.0,0.8867,0.8871,0.886,0.8871,0.9414,0.719,-0.3344,0.1434
Specificity,0.8868,0.8867,1.0,0.8865,0.8852,0.8865,0.9417,0.7157,-0.3325,0.1402
Actionability,0.8859,0.8871,0.8865,1.0,0.8875,0.8846,0.9414,0.7203,-0.3342,0.1392
Pedagogical_Appropriateness,0.8857,0.886,0.8852,0.8875,1.0,0.8851,0.9414,0.716,-0.3303,0.1376
Socio_Affective_Tone,0.8874,0.8871,0.8865,0.8846,0.8851,1.0,0.9416,0.7174,-0.3321,0.14
Overall_Score,0.9412,0.9414,0.9417,0.9414,0.9414,0.9416,1.0,0.7622,-0.3524,0.148
Human_Score,0.7188,0.719,0.7157,0.7203,0.716,0.7174,0.7622,1.0,-0.3012,0.1088
Error_Density,-0.3308,-0.3344,-0.3325,-0.3342,-0.3303,-0.3321,-0.3524,-0.3012,1.0,-0.3196
Lexical_Sophistication,0.1386,0.1434,0.1402,0.1392,0.1376,0.14,0.148,0.1088,-0.3196,1.0
