Essay_ID,L1,CEFR,Model,Prompt,Overall_Score,Human_Score,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Error_Density,Lexical_Sophistication
1,Spanish,B2,GPT-4o,Baseline,4.469489135443743,4.200227869739775,4.471819203507438,4.557132010472805,4.449820897483198,4.517863335104673,4.083492280799255,4.5902985782083485,0.1867506487058105,0.8630237270007635
1,Spanish,B2,GPT-4o,FairnessAware,4.733261995364846,3.7372688894677717,4.776431689842163,4.376123034177864,4.901577081187154,4.634436337752343,4.821764804956662,4.716103901392567,0.30274754527167747,0.7992434154255549
1,Spanish,B2,Claude 4,Baseline,4.232247748736772,3.760650228992071,4.093131609303793,4.129152697250507,4.154550538738795,4.111015579299034,4.145084855119631,4.174453658061011,0.32504022101125724,0.9852033819603782
1,Spanish,B2,Claude 4,FairnessAware,3.9486174657033097,3.4758011399038886,3.8430414244979407,3.813711071454855,3.672088153397423,3.846785945982631,3.7760822268231378,3.753646280320866,0.3969930297219438,0.817495772623953
1,Spanish,B2,Gemini 2.5,Baseline,3.81880912053471,3.265434917921717,3.975384127312777,3.8787466371592196,3.8874532689709738,3.5203344762276463,3.954363301164299,3.750194619217192,0.3826702363188803,0.8180749124137792
1,Spanish,B2,Gemini 2.5,FairnessAware,3.959821651504549,3.5244971974262604,3.8387341963758486,4.130551892762134,3.879788593719549,3.779651631804234,3.876622082056359,4.028909322277294,0.4924443270695167,0.8800242384628626
2,Arabic,B1,GPT-4o,Baseline,4.102567337665849,4.033635724944384,4.160904772425255,4.289153147379033,4.159639611160543,4.347980028564037,4.104177505845313,4.055451283886072,0.6762594642870816,0.7508024446212133
2,Arabic,B1,GPT-4o,FairnessAware,4.322261720246049,4.410104257802546,4.036941098231304,4.5022487126962885,4.397262462986717,4.594246857342369,4.466651519980256,4.135326733078428,0.7410792604885642,1.0
2,Arabic,B1,Claude 4,Baseline,3.8184934471534744,3.5210558359744932,3.932441688627085,3.795227231194969,3.9192584796693617,3.7264706187145973,3.7547859927835407,3.8042603666162136,0.4259415979774078,0.615910006309236
2,Arabic,B1,Claude 4,FairnessAware,3.8492363950106085,3.550502554886422,3.91678994479728,3.72680756697067,4.077484223919894,3.7746219549538305,3.569345044832828,3.7984455634544423,0.6916878399705397,0.6455817472703236
2,Arabic,B1,Gemini 2.5,Baseline,3.7185506342934023,3.4755442356401893,3.479224428682311,3.676128872723981,3.801544297407087,3.8720519436312277,3.8004515881470913,3.6975100608735327,0.6316474781330301,0.8233704017507152
