L1,Model,Overall_Score,Human_Score,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone
Arabic,Claude 4,4.0557,3.7036,4.0587,4.0527,4.0516,4.055,4.0525,4.0517
Arabic,GPT-4o,4.3084,3.9526,4.309,4.3049,4.3059,4.3102,4.3097,4.3049
Arabic,Gemini 2.5,3.767,3.4132,3.7664,3.7702,3.768,3.7682,3.7626,3.7642
Chinese,Claude 4,3.8827,3.3739,3.877,3.8826,3.8808,3.8788,3.8828,3.8837
Chinese,GPT-4o,4.1281,3.6329,4.1292,4.1256,4.1322,4.1314,4.1317,4.1286
Chinese,Gemini 2.5,3.5809,3.0757,3.5759,3.5809,3.5838,3.5776,3.5803,3.5799
Persian,Claude 4,4.2653,3.9174,4.266,4.2645,4.2673,4.2716,4.2687,4.2629
Persian,GPT-4o,4.5103,4.1571,4.5059,4.506,4.5095,4.5149,4.5113,4.5098
Persian,Gemini 2.5,3.967,3.6209,3.9683,3.9682,3.9625,3.9681,3.9691,3.9626
Spanish,Claude 4,4.194,3.8429,4.1893,4.191,4.1884,4.1894,4.1919,4.1942
Spanish,GPT-4o,4.4459,4.0905,4.4472,4.4434,4.4528,4.4494,4.4445,4.4473
Spanish,Gemini 2.5,3.899,3.5354,3.8995,3.9022,3.9008,3.902,3.8977,3.8993
