Variable,count,mean,std,min,25%,50%,75%,max
Overall_Score,24000.0,4.0817,0.3346,2.961,3.8478,4.0893,4.3219,5.0
Human_Score,24000.0,3.6907,0.4707,1.8344,3.3726,3.7009,4.0175,5.0
Accuracy,24000.0,4.0807,0.3553,2.7496,3.8337,4.0875,4.3345,5.0
Helpfulness,24000.0,4.0807,0.3545,2.7942,3.834,4.086,4.3332,5.0
Specificity,24000.0,4.0816,0.3551,2.8231,3.8347,4.0883,4.3354,5.0
Actionability,24000.0,4.0827,0.357,2.8083,3.8328,4.0862,4.3378,5.0
Pedagogical_Appropriateness,24000.0,4.0816,0.3556,2.5699,3.8356,4.0894,4.3346,5.0
Socio_Affective_Tone,24000.0,4.0804,0.3557,2.8046,3.8336,4.0859,4.3346,5.0
Error_Density,24000.0,0.5005,0.1625,0.0,0.3856,0.5013,0.6162,1.0
Lexical_Sophistication,24000.0,0.7983,0.1233,0.3084,0.7104,0.8017,0.8927,1.0
