Variable,Accuracy,Helpfulness,Specificity,Actionability,Pedagogical_Appropriateness,Socio_Affective_Tone,Overall_Score,Human_Score,Error_Density,Lexical_Sophistication
Accuracy,1.0,0.8838,0.8842,0.8823,0.883,0.8847,0.9397,0.711,-0.3242,0.1326
Helpfulness,0.8838,1.0,0.8836,0.8841,0.8839,0.884,0.9397,0.71,-0.3259,0.138
Specificity,0.8842,0.8836,1.0,0.8835,0.8829,0.884,0.9401,0.7073,-0.3252,0.1351
Actionability,0.8823,0.8841,0.8835,1.0,0.8848,0.8817,0.9395,0.7121,-0.3273,0.1342
Pedagogical_Appropriateness,0.883,0.8839,0.8829,0.8848,1.0,0.8823,0.94,0.7083,-0.3248,0.1314
Socio_Affective_Tone,0.8847,0.884,0.884,0.8817,0.8823,1.0,0.9399,0.7094,-0.3254,0.1336
Overall_Score,0.9397,0.9397,0.9401,0.9395,0.94,0.9399,1.0,0.7533,-0.3438,0.1412
Human_Score,0.711,0.71,0.7073,0.7121,0.7083,0.7094,0.7533,1.0,-0.2973,0.1043
Error_Density,-0.3242,-0.3259,-0.3252,-0.3273,-0.3248,-0.3254,-0.3438,-0.2973,1.0,-0.3184
Lexical_Sophistication,0.1326,0.138,0.1351,0.1342,0.1314,0.1336,0.1412,0.1043,-0.3184,1.0
